Sample	total	total_yield	perfectIndex	yieldQ30	qscore_sum	R1_yield	R1_Q30	R1_trimmed_bases	R2_yield	R2_Q30	R2_trimmed_bases	percent_Q30	percent_perfectIndex	mean_qscore
NA12878-NA12878-1-TWE-F-EGG4	57585636	17390862072	52508783	15940861955	617747722531	8695431036	8006955147	229904269	8695431036	7933906808	231039954	91.6622872920454	91.18382056247499	35.52139738521641
X221216-GM2210326-1-TWE-F-EGG4	65291191	19717939682	59418373	18096017705	700980215843	9858969841	9103497233	224863747	9858969841	8992520472	225638979	91.77438412350652	91.00519088401987	35.55037834317481
X221302-GM2210319-1-TWE-M-EGG4	70105798	21171950996	65490894	19337813481	750777020322	10585975498	9764080512	173261742	10585975498	9573732969	174307080	91.33694615415216	93.41722919978744	35.460927548143474
X221305-GM2210318-1-TWE-F-EGG4	52499489	15854845678	46858826	14424171268	561254464840	7927422839	7307593305	113654923	7927422839	7116577963	114232706	90.97642172585012	89.25577542288077	35.39955394323328
X221313-GM2210301-1-TWE-M-EGG4	55949248	16896672896	50168279	15319166095	597160609992	8448336448	7817702054	130466569	8448336448	7501464041	130853921	90.66380221295846	89.6674768533082	35.34190509975296
X221314-GM2210291-1-TWE-F-EGG4	60682091	18325991482	57420415	16603743781	647383282099	9162995741	8456208507	156077785	9162995741	8147535274	156750640	90.60215812775199	94.62497757369633	35.32596218517657
X221316-GM2210566-1-TWE-M-EGG4	72291582	21832057764	66312377	20011762210	775519941650	10916028882	10076192450	473743384	10916028882	9935569760	474213097	91.66228134023363	91.72904391551425	35.522072634343914
X221337-GM2210142-1-TWE-M-EGG4	80650221	24356366742	76258316	22135504546	861685094638	12178183371	11226112213	229329751	12178183371	10909392333	230033017	90.8818001489099	94.5543794604109	35.37822795023506
X221350-GM2211157-1-TWE-M-EGG4	62576717	18898168534	55513908	17283892543	670704824531	9449084267	8728977739	199165665	9449084267	8554914804	199895969	91.45802944822017	88.71335963502209	35.490466884361
X221352-GM2211136-1-TWE-M-EGG4	64453957	19465095014	59448449	17905881337	692745151266	9732547507	8987205488	210259365	9732547507	8918675849	210937232	91.9896939836227	92.23397874547872	35.58909683039064
X221353-GM2210388-1-TWE-F-EGG4	51866172	15663583944	47713861	14230061470	554112306147	7831791972	7238439245	181484514	7831791972	6991622225	181512422	90.84805572514509	91.99418264374707	35.37583149093123
X221364-GM2210646-1-TWE-M-EGG4	77083387	23279182874	71211657	21191957749	824279414749	11639591437	10743805036	234372333	11639591437	10448152713	235084666	91.03394162803208	92.38262584387995	35.40843418819564
X221367-GM2211373-1-TWE-F-EGG4	43178484	13039902168	40210108	12011084532	464350360145	6519951084	6015845140	207477904	6519951084	5995239392	208100103	92.11023500985517	93.12533529431	35.60995735723529
X221368-GM2210324-1-TWE-F-EGG4	74244294	22421776788	69682131	20599138067	797451941420	11210888394	10362705406	276092471	11210888394	10236432661	276855636	91.87112271149061	93.85520050874213	35.56595665722582
X221369-GM2210323-1-TWE-M-EGG4	65351414	19736127028	58239783	17881334929	696953113070	9868063514	9087530622	168877892	9868063514	8793804307	169901805	90.60204620507066	89.11786208635057	35.313570493401265
X221372-GM2211127-1-TWE-F-EGG4	53934796	16288308392	47529728	14873486740	577614667164	8144154196	7516336284	162426756	8144154196	7357150456	163505142	91.31388221569473	88.12442342416573	35.46191865127599
X221403-GM2211579-1-TWE-M-EGG4	68953174	20823858548	60337192	19018101663	738369823244	10411929274	9593008371	198717096	10411929274	9425093292	199627979	91.32842320822702	87.50458970895234	35.457877392992366
X221406-GM2210058-1-TWE-F-EGG4	59007563	17820284026	50513472	16313614650	632741124097	8910142013	8231600478	188640718	8910142013	8082014172	189529289	91.54519998782426	85.60508082667302	35.50679232574652
X221416-GM2211270-1-TWE-F-EGG4	59141559	17860750818	55331558	16431402444	635658932497	8930375409	8236148722	164266628	8930375409	8195253722	165108170	91.9972660244523	93.55782792266264	35.589709468226005
X221424-GM2123694-1-TWE-F-EGG4	70408234	21263286668	65961375	19357652627	752934804489	10631643334	9813108987	191900030	10631643334	9544543640	192409199	91.03791398406969	93.68417762047547	35.410085761676854
X221431-GM2211586-1-TWE-F-EGG4	48077427	14519382954	42993518	13353745113	516675649142	7259691477	6709179465	203741921	7259691477	6644565648	204355494	91.97185001116817	89.42558011683944	35.58523463282984
X221442-GM2211584-1-TWE-F-EGG4	73008310	22048509620	69471591	20112244555	781373772348	11024254810	10176425405	214362514	11024254810	9935819150	215280426	91.21815896688258	95.15573090241372	35.4388476053376
X221768-GM2211585-1-TWE-M-EGG4	63103172	19057157944	56561661	17481527531	677280284642	9528578972	8800168006	225827015	9528578972	8681359525	226152643	91.73208084001804	89.6336257074367	35.539417085811394
X221777-GM2211535-1-TWE-F-EGG4	83919485	25343684470	77079825	23275018705	901194239847	12671842235	11712810203	253636228	12671842235	11562208502	254546529	91.8375492424997	91.84973549349117	35.558927547167336
X221780-GM2211534-1-TWE-F-EGG4	73631795	22236802090	66927110	20223908373	786876472879	11118401045	10244194756	124414637	11118401045	9979713617	125399360	90.94791729110541	90.89430727581747	35.38622458815075
X221784-GM2211540-1-TWE-F-EGG4	58652830	17713154660	51815898	16234176125	629361160849	8856577330	8174887905	166041021	8856577330	8059288220	166552466	91.65039450403579	88.34338939826092	35.530721259394234
