Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NA12878-NA12878-1-TWE-F-EGG4_S64_L001_R1	NA12878-NA12878-1-TWE-F-EGG4_S64_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	28701441.0	0.0	35-151	51.0	86.05920815852983	147.00108701859256	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
NA12878-NA12878-1-TWE-F-EGG4_S64_L001_R2	NA12878-NA12878-1-TWE-F-EGG4_S64_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	28701441.0	0.0	35-151	51.0	86.29971435909803	146.98063456117063	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
NA12878-NA12878-1-TWE-F-EGG4_S64_L002_R1	NA12878-NA12878-1-TWE-F-EGG4_S64_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	28884195.0	0.0	35-151	51.0	86.16235409322528	147.01494578609513	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
NA12878-NA12878-1-TWE-F-EGG4_S64_L002_R2	NA12878-NA12878-1-TWE-F-EGG4_S64_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	28884195.0	0.0	35-151	51.0	86.53190048622471	146.99607858207577	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221216-GM2210326-1-TWE-F-EGG4_S31_L001_R1	X221216-GM2210326-1-TWE-F-EGG4_S31_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	32533293.0	0.0	35-151	50.0	84.23768997733451	147.54621562594355	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221216-GM2210326-1-TWE-F-EGG4_S31_L001_R2	X221216-GM2210326-1-TWE-F-EGG4_S31_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	32533293.0	0.0	35-151	50.0	84.79586851653575	147.53331490298262	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221216-GM2210326-1-TWE-F-EGG4_S31_L002_R1	X221216-GM2210326-1-TWE-F-EGG4_S31_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	32757898.0	0.0	35-151	50.0	84.40064770729475	147.56647505282544	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221216-GM2210326-1-TWE-F-EGG4_S31_L002_R2	X221216-GM2210326-1-TWE-F-EGG4_S31_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	32757898.0	0.0	35-151	50.0	84.86862084841634	147.5556823884121	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221302-GM2210319-1-TWE-M-EGG4_S37_L001_R1	X221302-GM2210319-1-TWE-M-EGG4_S37_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	34842607.0	0.0	35-151	52.0	83.31177825111264	148.519315388771	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221302-GM2210319-1-TWE-M-EGG4_S37_L001_R2	X221302-GM2210319-1-TWE-M-EGG4_S37_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	34842607.0	0.0	35-151	52.0	83.80126044713568	148.50342183063398	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
