Sample	mean het ratio	mean homo ratio	het:homo ratio	X homo:het ratio	gender
NA12878-NA12878-1-TWE-F-EGG4	0.4706	0.9979	1.5752	1.3427	male
X221216-GM2210326-1-TWE-F-EGG4	0.4687	0.9972	1.6763	1.5034	male
X221302-GM2210319-1-TWE-M-EGG4	0.4731	0.998	1.9255	0.1297	female
X221305-GM2210318-1-TWE-F-EGG4	0.4714	0.9978	1.6439	1.2197	male
X221313-GM2210301-1-TWE-M-EGG4	0.4703	0.9974	1.6303	0.1684	female
X221314-GM2210291-1-TWE-F-EGG4	0.4706	0.9968	1.9768	2.2073	male
X221316-GM2210566-1-TWE-M-EGG4	0.4684	0.9977	1.8604	0.1057	female
X221337-GM2210142-1-TWE-M-EGG4	0.4706	0.998	1.5613	0.1913	female
X221350-GM2211157-1-TWE-M-EGG4	0.4673	0.9974	1.6309	0.1225	female
X221352-GM2211136-1-TWE-M-EGG4	0.4731	0.9973	1.5911	0.1491	female
X221353-GM2210388-1-TWE-F-EGG4	0.4687	0.998	1.8579	1.9626	male
X221364-GM2210646-1-TWE-M-EGG4	0.4702	0.9976	1.6347	0.1378	female
X221367-GM2211373-1-TWE-F-EGG4	0.4726	0.9982	2.173	1.8981	male
X221368-GM2210324-1-TWE-F-EGG4	0.4709	0.9981	1.7157	1.3046	male
X221369-GM2210323-1-TWE-M-EGG4	0.4721	0.9976	1.5966	0.1759	female
X221372-GM2211127-1-TWE-F-EGG4	0.4664	0.9921	1.6734	1.1525	male
X221403-GM2211579-1-TWE-M-EGG4	0.4696	0.9974	1.6297	0.189	female
X221406-GM2210058-1-TWE-F-EGG4	0.4677	0.998	1.6147	1.2621	male
X221416-GM2211270-1-TWE-F-EGG4	0.4702	0.9975	1.6665	1.3114	male
X221424-GM2123694-1-TWE-F-EGG4	0.4688	0.9979	1.635	1.4574	male
X221431-GM2211586-1-TWE-F-EGG4	0.4687	0.9981	1.7198	1.5401	male
X221442-GM2211584-1-TWE-F-EGG4	0.4713	0.998	1.6781	1.0469	male
X221768-GM2211585-1-TWE-M-EGG4	0.4727	0.9977	1.6205	0.1464	female
X221777-GM2211535-1-TWE-F-EGG4	0.4713	0.9979	1.6884	1.1459	male
X221780-GM2211534-1-TWE-F-EGG4	0.4685	0.9977	1.6715	1.5035	male
X221784-GM2211540-1-TWE-F-EGG4	0.4721	0.9981	1.6517	1.2255	male
X221785-GM2211538-1-TWE-M-EGG4	0.4681	0.998	1.6469	0.1939	female
X221786-GM2211695-1-TWE-M-EGG4	0.4695	0.9975	1.6828	0.0797	female
X221787-GM2211536-1-TWE-M-EGG4	0.4686	0.9981	1.7196	0.1091	female
X221789-GM2211405-1-TWE-F-EGG4	0.4704	0.9978	1.8219	1.1419	male
X221793-GM2211541-1-TWE-F-EGG4	0.469	0.9985	1.8414	1.5264	male
X221803-GM2210530-1-TWE-F-EGG4	0.4727	0.9982	1.6238	1.2189	male
X221809-GM2211489-1-TWE-M-EGG4	0.4708	0.9974	1.7031	0.2008	female
X221837-GM1911053-1-TWE-F-EGG4	0.4714	0.998	1.6126	1.3295	male
X221857-GM2211189-1-TWE-F-EGG4	0.4664	0.9979	1.6288	1.396	male
X221878-GM2211537-1-TWE-M-EGG4	0.4705	0.9975	1.6187	0.1762	female
X221912-GM2210738-1-TWE-M-EGG4	0.4721	0.9983	1.5823	0.1739	female
X222001-GM2211415-1-TWE-M-EGG4	0.469	0.9976	1.6643	0.1434	female
X222348-GM2216585-1-TWE-M-EGG4	0.472	0.9983	1.6767	0.1761	female
X223122-gm2221969-1-TWE-F-EGG4	0.4682	0.9979	1.7182	1.3986	male
X223375-GM2224964-1-TWE-M-EGG4	0.4684	0.9976	1.614	0.2035	female
X223509-GM2225620-1-TWE-F-EGG4	0.467	0.9975	1.9203	1.4336	male
X223925-GM2228346-1-TWE-M-EGG4	0.4722	0.9974	1.6352	0.1836	female
X223974-GM2205007-1-TWE-F-EGG4	0.4674	0.9974	1.6579	1.271	male
X223977-GM2216916-1-TWE-M-EGG4	0.4665	0.9981	1.5516	0.1516	female
X223981-GM2300340-1-TWE-M-EGG4	0.4689	0.9981	1.693	0.2023	female
X224007-GM2227212-1-TWE-F-EGG4	0.4679	0.9969	1.644	1.1484	male
X224082-GM2203889-1-TWE-M-EGG4	0.4679	0.9971	1.6768	0.1949	female
X224119-GM2301435-1-TWE-F-EGG4	0.4676	0.9979	1.6903	1.4486	male
X224129-GM2301646-1-TWE-M-EGG4	0.4697	0.9979	1.7992	0.1935	female
X224246-GM2302230-1-TWE-M-EGG4	0.4713	0.9982	1.6807	0.1686	female
X224247-GM2302111-1-TWE-M-EGG4	0.4713	0.9975	1.6127	0.1924	female
X224264-GM2221424-1-TWE-M-EGG4	0.4701	0.9979	2.3401	0.2035	female
X224278-GM2302443-1-TWE-M-EGG4	0.4699	0.9982	1.635	0.1167	female
X224287-GM2302336-1-TWE-F-EGG4	0.4702	0.9971	1.6631	1.2982	male
X224321-GM2302874-1-TWE-F-EGG4	0.4672	0.9972	1.7982	1.6675	male
X224362-GM2303082-1-TWE-M-EGG4	0.4684	0.9979	1.541	0.1736	female
X224374-GM2302517-1-TWE-M-EGG4	0.4688	0.998	1.6058	0.1528	female
X224378-GM2302909-1-TWE-F-EGG4	0.4709	0.998	1.7506	1.271	male
X224436-GM2301584-1-TWE-M-EGG4	0.4721	0.9977	1.5858	0.2058	female
X224551-GM2303393-1-TWE-M-EGG4	0.4695	0.9974	1.6364	0.1734	female
X224563-GM2303608-1-TWE-F-EGG4	0.4707	0.9978	1.6481	1.044	male
X224757-GM2221065-1-TWE-F-EGG4	0.4676	0.9981	1.6541	1.2293	male
X224761-GM2300126-1-TWE-M-EGG4	0.4674	0.9969	1.6067	0.144	female
