Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-TWE-F-EGG4	targets	36630379.0	1.0	7473604408.0	5627099056.0	3672742521.0	0.781038	0.218962	0.570474	204.027493	0.441442	0.279498	38.163117	222158003.0	4.738114	4.782951	4.838997	4.895044	4.942122	5.247015	36630379.0	3137454505.0	115171272.0	115171272.0	16929970797.0	104869707.0	104680767.0	16773445985.0	15278750994.0	4731896801.0	1.0	0.910554	0.998198	129.179575	125.0	2573.0	0.0	0.013672	0.089111	0.0	0.045445	0.019711	0.175073	0.38857	1.451456	0.984635	0.982548	0.978321	0.976232	0.974237	0.97048	0.962125	0.722314	7.79294	0.415453	0.982447	18.0			
X221216-GM2210326-1-TWE-F-EGG4	targets	36630379.0	1.0	8322873281.0	6461258348.0	4327480879.0	0.773568	0.226432	0.56296	227.212317	0.431965	0.269007	37.30027	193178495.0	4.503039	4.554294	4.607685	4.663212	4.722155	5.039937	36630379.0	3137454505.0	130582382.0	130582382.0	19267490356.0	115913473.0	115757984.0	19111612508.0	16969361936.0	5183089725.0	1.0	0.887665	0.998659	141.497027	138.0	3198.0	0.0	0.012953	0.112092	0.0	0.045503	0.018864	0.159605	0.392751	1.360548	0.985074	0.983029	0.979087	0.977192	0.975621	0.97397	0.971804	0.835745	3.931623	0.518229	0.982969	18.0			
X221302-GM2210319-1-TWE-M-EGG4	targets	36630379.0	1.0	8987208570.0	7083904065.0	4548238004.0	0.779419	0.220581	0.559215	245.348501	0.43157	0.268243	37.332396	184325739.0	5.311439	5.387549	5.470577	5.553606	5.631099	6.118199	36630379.0	3137454505.0	140211596.0	140211596.0	20824455880.0	122674677.0	122431868.0	20619350639.0	18042758380.0	5586004614.0	1.0	0.874925	0.998021	152.496501	139.0	3101.0	0.0	0.011819	0.12496	0.0	0.046965	0.020013	0.147777	0.389392	1.622303	0.98617	0.984118	0.979942	0.978049	0.976264	0.973513	0.96732	0.762833	10.901843	1.554074	0.983985	18.0			
X221305-GM2210318-1-TWE-F-EGG4	targets	36630379.0	1.0	6584344533.0	5341570175.0	3557465323.0	0.77024	0.22976	0.552104	179.750926	0.421344	0.270435	36.423594	168275626.0	4.41123	4.463111	4.525368	4.587624	4.649881	4.998518	36630379.0	3137454505.0	104998978.0	104998978.0	15626998765.0	94146622.0	93949539.0	15483380031.0	13884134588.0	4226090350.0	1.0	0.896643	0.997907	115.371188	113.0	2380.0	0.0	0.013368	0.103288	0.0	0.043434	0.021793	0.1512	0.407357	1.326106	0.984871	0.982822	0.978942	0.976688	0.974657	0.972237	0.967496	0.660773	2.326274	0.536864	0.982822	18.0			
X221313-GM2210301-1-TWE-M-EGG4	targets	36630379.0	1.0	7064646545.0	5571463726.0	3842786460.0	0.766806	0.233194	0.559084	192.863048	0.424675	0.270689	36.719633	190461945.0	4.617137	4.666776	4.72377	4.782602	4.844376	5.170895	36630379.0	3137454505.0	111898496.0	111898496.0	16635405007.0	100948070.0	100778025.0	16478896731.0	14868110297.0	4503026057.0	1.0	0.90214	0.998316	122.931462	120.0	4823.0	0.0	0.012142	0.097748	0.0	0.046232	0.022787	0.16071	0.399279	1.381252	0.985935	0.983789	0.979756	0.977604	0.97555	0.972613	0.966239	0.702024	5.548789	0.51877	0.983745	18.0			
X221314-GM2210291-1-TWE-F-EGG4	targets	36630379.0	1.0	7673001810.0	6075322022.0	4086156176.0	0.770884	0.229116	0.558105	209.470992	0.425965	0.269385	36.850287	194463723.0	4.543847	4.60354	4.651296	4.710989	4.761132	5.076316	36630379.0	3137454505.0	121364182.0	121364182.0	18013212286.0	108722953.0	108476021.0	17834480008.0	15979127366.0	4852498111.0	1.0	0.895841	0.997729	132.47196	130.0	2089.0	0.0	0.013202	0.104032	0.0	0.04471	0.02278	0.159285	0.397125	1.36569	0.984915	0.982949	0.978914	0.976909	0.975194	0.973276	0.969902	0.780894	4.801325	0.461537	0.982823	18.0			
X221316-GM2210566-1-TWE-M-EGG4	targets	36630379.0	1.0	9755305949.0	6282211159.0	4669849956.0	0.774484	0.225516	0.60828	266.317363	0.467115	0.271909	40.35079	244297912.0	4.83801	4.893371	4.939505	4.990253	5.042846	5.330725	36630379.0	3137454505.0	144583164.0	144583164.0	20884153949.0	129910501.0	129710558.0	20707367064.0	18619144458.0	5678596652.0	1.0	0.898517	0.998461	155.02424	150.0	3311.0	0.0	0.012861	0.100844	1e-06	0.051535	0.017572	0.217523	0.338316	1.462493	0.985395	0.983325	0.979397	0.977578	0.975974	0.973938	0.970081	0.836629	7.382848	0.53314	0.983168	18.0			
X221337-GM2210142-1-TWE-M-EGG4	targets	36630379.0	1.0	10405858321.0	8030281421.0	5232376311.0	0.778931	0.221069	0.564427	284.077277	0.435445	0.266573	37.656756	210749284.0	4.879835	4.935435	4.996329	5.054576	5.108586	5.451713	36630379.0	3137454505.0	161300442.0	161300442.0	23897075454.0	140957147.0	140671700.0	23668516053.0	20686076553.0	6370318834.0	1.0	0.873879	0.997975	173.908079	167.0	4504.0	0.0	0.011755	0.126009	0.0	0.045609	0.021127	0.156054	0.382069	1.486394	0.986404	0.984446	0.980558	0.97879	0.977443	0.975865	0.973467	0.882097	8.510659	0.823785	0.984266	18.0			
X221350-GM2211157-1-TWE-M-EGG4	targets	36630379.0	1.0	7986070991.0	6022061928.0	4333138752.0	0.763749	0.236251	0.570102	218.0177	0.431699	0.267622	37.294067	197128743.0	4.666984	4.716054	4.777391	4.832594	4.890251	5.21411	36630379.0	3137454505.0	125153434.0	125153434.0	18499158679.0	111838059.0	111671173.0	18341271671.0	16395415252.0	4950775173.0	1.0	0.893608	0.998508	135.154899	132.0	3218.0	0.0	0.012584	0.106092	0.0	0.050126	0.019722	0.166568	0.387584	1.393349	0.985688	0.983644	0.979705	0.97776	0.975976	0.973541	0.968879	0.78468	4.758456	0.488021	0.98358	18.0			
X221352-GM2211136-1-TWE-M-EGG4	targets	36630379.0	1.0	8159289494.0	6294799647.0	4433544896.0	0.765267	0.234733	0.564497	222.746521	0.428445	0.271481	37.000774	222053097.0	4.565362	4.609597	4.660151	4.704386	4.756204	5.019087	36630379.0	3137454505.0	128907914.0	128907914.0	19043956686.0	116365622.0	116199864.0	18887634037.0	17054409678.0	5170079161.0	1.0	0.902703	0.998576	141.141842	138.0	3814.0	0.0	0.012059	0.09706	0.0	0.046226	0.018349	0.167363	0.397291	1.370309	0.986069	0.984099	0.98005	0.978039	0.976364	0.974485	0.971531	0.828428	4.231718	0.545828	0.983949	18.0			
