Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
NA12878-NA12878-1-TWE-F-EGG4	116217964	0	0	0	1046692	0	10301565	0	116029024	0	99.84	nan	115171272	0	57585636	0	57585636	0	112831172	0	97.97	nan	114833478	0	148854	0	0.13	nan	1464428	0	1275784	0	116217964
X221216-GM2210326-1-TWE-F-EGG4	131559745	0	0	0	977363	0	14668909	0	131404256	0	99.88	nan	130582382	0	65291191	0	65291191	0	128951992	0	98.75	nan	130301664	0	125229	0	0.1	nan	858962	0	703142	0	131559745
X221302-GM2210319-1-TWE-M-EGG4	141553732	0	0	0	1342136	0	17536919	0	141310923	0	99.83	nan	140211596	0	70105798	0	70105798	0	138028572	0	98.44	nan	139777336	0	191451	0	0.14	nan	829774	0	640327	0	141553732
X221305-GM2210318-1-TWE-F-EGG4	105794291	0	0	0	795313	0	10852356	0	105597208	0	99.81	nan	104998978	0	52499489	0	52499489	0	103330054	0	98.41	nan	104662422	0	139473	0	0.13	nan	916772	0	775929	0	105794291
X221313-GM2210301-1-TWE-M-EGG4	112807183	0	0	0	908687	0	10950426	0	112637138	0	99.85	nan	111898496	0	55949248	0	55949248	0	110107566	0	98.4	nan	111579788	0	148663	0	0.13	nan	988006	0	822545	0	112807183
X221314-GM2210291-1-TWE-F-EGG4	122358329	0	0	0	994147	0	12641229	0	122111397	0	99.8	nan	121364182	0	60682091	0	60682091	0	119443334	0	98.42	nan	120932570	0	184680	0	0.15	nan	974538	0	814806	0	122358329
X221316-GM2210566-1-TWE-M-EGG4	145725047	0	0	0	1141883	0	14672663	0	145525104	0	99.86	nan	144583164	0	72291582	0	72291582	0	142621612	0	98.64	nan	144227224	0	155997	0	0.11	nan	1057830	0	871587	0	145725047
X221337-GM2210142-1-TWE-M-EGG4	162634170	0	0	0	1333728	0	20343295	0	162348723	0	99.82	nan	161300442	0	80650221	0	80650221	0	159100938	0	98.64	nan	160797080	0	217915	0	0.14	nan	953430	0	763812	0	162634170
X221350-GM2211157-1-TWE-M-EGG4	126143860	0	0	0	990426	0	13315375	0	125976974	0	99.87	nan	125153434	0	62576717	0	62576717	0	123105760	0	98.36	nan	124851766	0	134782	0	0.11	nan	1255806	0	1072792	0	126143860
X221352-GM2211136-1-TWE-M-EGG4	129890782	0	0	0	982868	0	12542292	0	129725024	0	99.87	nan	128907914	0	64453957	0	64453957	0	127017444	0	98.53	nan	128617946	0	124210	0	0.1	nan	1108756	0	928689	0	129890782
X221353-GM2210388-1-TWE-F-EGG4	104614223	0	0	0	881879	0	10413457	0	104447008	0	99.84	nan	103732344	0	51866172	0	51866172	0	101993926	0	98.32	nan	103429360	0	135769	0	0.13	nan	1010840	0	862581	0	104614223
X221364-GM2210646-1-TWE-M-EGG4	155337640	0	0	0	1170866	0	15266106	0	155059477	0	99.82	nan	154166774	0	77083387	0	77083387	0	151661174	0	98.37	nan	153681970	0	206641	0	0.13	nan	1430278	0	1200495	0	155337640
X221367-GM2211373-1-TWE-F-EGG4	86998424	0	0	0	641456	0	7015231	0	86895403	0	99.88	nan	86356968	0	43178484	0	43178484	0	85033368	0	98.47	nan	86173406	0	80541	0	0.09	nan	849674	0	723650	0	86998424
X221368-GM2210324-1-TWE-F-EGG4	149872160	0	0	0	1383572	0	17018911	0	149675504	0	99.87	nan	148488588	0	74244294	0	74244294	0	145818852	0	98.2	nan	148139496	0	152436	0	0.1	nan	1761694	0	1520805	0	149872160
X221369-GM2210323-1-TWE-M-EGG4	132643936	0	0	0	1941108	0	17932825	0	132345035	0	99.77	nan	130702828	0	65351414	0	65351414	0	127866388	0	97.83	nan	130153216	0	250711	0	0.19	nan	802254	0	599994	0	132643936
