Sample	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	
NA12878-NA12878-1-TWE-F-EGG4	PAIR	115171272.0	115171272.0	1.0	0.0	114982332.0	0.998359	16722348314.0	109340225.0	15937851152.0	15482817698.0	0.0	0.003987	0.003863	0.000136	146.99821	114833478.0	0.998705	0.0	0.500079	0.022152	0.0	
X221216-GM2210326-1-TWE-F-EGG4	PAIR	130582382.0	130582382.0	1.0	0.0	130426893.0	0.998809	19064536108.0	123939494.0	18152617159.0	17641094451.0	0.0	0.003881	0.003765	0.000133	147.550459	130301664.0	0.99904	0.0	0.500064	0.014851	0.0	
X221302-GM2210319-1-TWE-M-EGG4	PAIR	140211596.0	140211596.0	1.0	0.0	139968787.0	0.998268	20554155093.0	132740366.0	19535061179.0	18946419654.0	0.0	0.004439	0.004306	0.000154	148.521638	139777336.0	0.998632	0.0	0.500073	0.018128	0.0	
X221305-GM2210318-1-TWE-F-EGG4	PAIR	104998978.0	104998978.0	1.0	0.0	104801895.0	0.998123	15444802309.0	99870971.0	14745083135.0	14276502909.0	0.0	0.004383	0.004261	0.000141	148.830008	104662422.0	0.998669	0.0	0.500077	0.016973	0.0	
X221313-GM2210301-1-TWE-M-EGG4	PAIR	111898496.0	111898496.0	1.0	0.0	111728451.0	0.99848	16434820091.0	106134845.0	15644351935.0	15126657569.0	0.0	0.004625	0.004495	0.000141	148.665135	111579788.0	0.998669	0.0	0.500071	0.017874	0.0	
X221314-GM2210291-1-TWE-F-EGG4	PAIR	121364182.0	121364182.0	1.0	0.0	121117250.0	0.997965	17786361429.0	115242328.0	16956172579.0	16387905051.0	0.0	0.004749	0.004633	0.000146	148.422805	120932570.0	0.998475	0.0	0.500084	0.017139	0.0	
X221316-GM2210566-1-TWE-M-EGG4	PAIR	144583164.0	144583164.0	1.0	0.0	144383221.0	0.998617	20652415547.0	136281636.0	19541131984.0	18990173012.0	0.0	0.003959	0.003827	0.000126	144.443885	144227224.0	0.99892	0.0	0.500083	0.015285	0.0	
X221337-GM2210142-1-TWE-M-EGG4	PAIR	161300442.0	161300442.0	1.0	0.0	161014995.0	0.99823	23603985355.0	152916923.0	22463445456.0	21738835887.0	0.0	0.004547	0.004422	0.000134	148.152573	160797080.0	0.998647	0.0	0.50005	0.015587	0.0	
X221350-GM2211157-1-TWE-M-EGG4	PAIR	125153434.0	125153434.0	1.0	0.0	124986548.0	0.998667	18293297733.0	118140145.0	17326269984.0	16811200001.0	0.0	0.004097	0.003975	0.000138	147.811835	124851766.0	0.998922	0.0	0.500064	0.018272	0.0	
X221352-GM2211136-1-TWE-M-EGG4	PAIR	128907914.0	128907914.0	1.0	0.0	128742156.0	0.998714	18840200338.0	122310199.0	17936112046.0	17450076081.0	0.0	0.003771	0.003646	0.00014	147.73303	128617946.0	0.999035	0.0	0.500043	0.016707	0.0	
X221353-GM2210388-1-TWE-F-EGG4	PAIR	103732344.0	103732344.0	1.0	0.0	103565129.0	0.998388	15118348961.0	98567934.0	14418669460.0	13953634563.0	0.0	0.004546	0.004425	0.00014	147.501018	103429360.0	0.998689	0.0	0.500087	0.018791	0.0	
X221364-GM2210646-1-TWE-M-EGG4	PAIR	154166774.0	154166774.0	1.0	0.0	153888611.0	0.998196	22538617096.0	146049412.0	21435482948.0	20762781334.0	0.0	0.004396	0.004263	0.000141	147.955309	153681970.0	0.998657	0.0	0.50008	0.017355	0.0	
X221367-GM2211373-1-TWE-F-EGG4	PAIR	86356968.0	86356968.0	1.0	0.0	86253947.0	0.998807	12491261521.0	81511717.0	11830956811.0	11517272662.0	0.0	0.003837	0.003709	0.000146	146.188038	86173406.0	0.999066	0.0	0.500069	0.017276	0.0	
X221368-GM2210324-1-TWE-F-EGG4	PAIR	148488588.0	148488588.0	1.0	0.0	148291932.0	0.998676	21615839369.0	140776337.0	20564633513.0	19998865243.0	0.0	0.003782	0.003658	0.000136	147.276573	148139496.0	0.998972	0.0	0.500067	0.020721	0.0	
X221369-GM2210323-1-TWE-M-EGG4	PAIR	130702828.0	130702828.0	1.0	0.0	130403927.0	0.997713	19072399296.0	123672003.0	18135120732.0	17532425679.0	0.0	0.004911	0.004759	0.000147	148.408746	130153216.0	0.998077	0.0	0.50011	0.026872	0.0	
