Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT
NA12878-NA12878-1-TWE-F-EGG4_FR	NA12878-NA12878-1-TWE-F-EGG4	239.0	69.0	2.0	249002858.0	258.989682	109.444794	56481365.0	FR	27.0	55.0	83.0	111.0	139.0	171.0	207.0	251.0	343.0	707.0
X221216-GM2210326-1-TWE-F-EGG4_FR	X221216-GM2210326-1-TWE-F-EGG4	248.0	70.0	2.0	244192974.0	266.50404	109.495209	64523282.0	FR	29.0	55.0	83.0	111.0	141.0	173.0	211.0	257.0	343.0	689.0
X221302-GM2210319-1-TWE-M-EGG4_FR	X221302-GM2210319-1-TWE-M-EGG4	253.0	69.0	2.0	245518663.0	273.166707	109.693214	69100199.0	FR	27.0	55.0	81.0	109.0	139.0	169.0	205.0	253.0	345.0	713.0
X221305-GM2210318-1-TWE-F-EGG4_FR	X221305-GM2210318-1-TWE-F-EGG4	254.0	66.0	2.0	239262459.0	272.011144	103.847566	51708220.0	FR	27.0	53.0	79.0	105.0	133.0	163.0	197.0	243.0	329.0	657.0
X221313-GM2210301-1-TWE-M-EGG4_FR	X221313-GM2210301-1-TWE-M-EGG4	247.0	65.0	2.0	238649698.0	266.1144	102.373551	55101822.0	FR	27.0	53.0	79.0	105.0	131.0	159.0	193.0	237.0	325.0	653.0
X221314-GM2210291-1-TWE-F-EGG4_FR	X221314-GM2210291-1-TWE-F-EGG4	248.0	66.0	2.0	241312498.0	266.110082	103.278443	59770161.0	FR	27.0	51.0	77.0	105.0	133.0	163.0	197.0	241.0	327.0	653.0
X221316-GM2210566-1-TWE-M-EGG4_FR	X221316-GM2210566-1-TWE-M-EGG4	209.0	58.0	2.0	245406863.0	225.11232	92.256567	71403564.0	FR	23.0	45.0	69.0	93.0	117.0	145.0	175.0	213.0	287.0	597.0
X221337-GM2210142-1-TWE-M-EGG4_FR	X221337-GM2210142-1-TWE-M-EGG4	247.0	67.0	2.0	246002189.0	265.32213	104.48161	79613520.0	FR	27.0	53.0	79.0	107.0	135.0	165.0	201.0	245.0	331.0	659.0
X221350-GM2211157-1-TWE-M-EGG4_FR	X221350-GM2211157-1-TWE-M-EGG4	241.0	65.0	2.0	241735740.0	259.377121	102.375079	61609682.0	FR	27.0	51.0	77.0	103.0	131.0	161.0	195.0	239.0	323.0	651.0
X221352-GM2211136-1-TWE-M-EGG4_FR	X221352-GM2211136-1-TWE-M-EGG4	243.0	67.0	2.0	246605765.0	261.818208	104.885692	63562318.0	FR	27.0	53.0	79.0	107.0	135.0	165.0	201.0	245.0	331.0	665.0
