Sample	RG	CHIP_ID	#SNPS	#READS	AVG_DP	FREEMIX	FREELK1	FREELK0	FREE_RH	FREE_RA	CHIPMIX	CHIPLK1	CHIPLK0	CHIP_RH	CHIP_RA	DPREF	RDPHET	RDPALT
NA12878-NA12878-1-TWE-F-EGG4	ALL	NA	1781659.0	11262640.0	6.32	0.00086	1867724.94	1868479.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221216-GM2210326-1-TWE-F-EGG4	ALL	NA	1781659.0	12553961.0	7.05	0.00073	2012631.26	2013322.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221302-GM2210319-1-TWE-M-EGG4	ALL	NA	1781659.0	13660242.0	7.67	0.00076	2500893.82	2501874.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221305-GM2210318-1-TWE-F-EGG4	ALL	NA	1781659.0	10273536.0	5.77	0.0008	1698601.15	1699232.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221313-GM2210301-1-TWE-M-EGG4	ALL	NA	1781659.0	11113278.0	6.24	0.00085	1860146.55	1860831.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221314-GM2210291-1-TWE-F-EGG4	ALL	NA	1781659.0	11736507.0	6.59	0.0009	2097182.26	2097986.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221316-GM2210566-1-TWE-M-EGG4	ALL	NA	1781659.0	13251738.0	7.44	0.00091	2341321.52	2342235.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221337-GM2210142-1-TWE-M-EGG4	ALL	NA	1781659.0	15732235.0	8.83	0.00089	2551327.16	2552496.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221350-GM2211157-1-TWE-M-EGG4	ALL	NA	1781659.0	12176218.0	6.83	0.00085	2004465.09	2005240.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221352-GM2211136-1-TWE-M-EGG4	ALL	NA	1781659.0	12743211.0	7.15	0.00084	2138884.1	2139667.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221353-GM2210388-1-TWE-F-EGG4	ALL	NA	1781659.0	9884983.0	5.55	0.00095	1782077.57	1782713.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221364-GM2210646-1-TWE-M-EGG4	ALL	NA	1781659.0	15012926.0	8.43	0.00077	2473352.96	2474209.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221367-GM2211373-1-TWE-F-EGG4	ALL	NA	1781659.0	8251784.0	4.63	0.00085	1633713.35	1634247.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221368-GM2210324-1-TWE-F-EGG4	ALL	NA	1781659.0	13876480.0	7.79	0.00081	2295163.59	2295986.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221369-GM2210323-1-TWE-M-EGG4	ALL	NA	1781659.0	12496153.0	7.01	0.00103	2062327.0	2063447.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221372-GM2211127-1-TWE-F-EGG4	ALL	NA	1781659.0	10522285.0	5.91	0.01832	1885968.01	1953587.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221403-GM2211579-1-TWE-M-EGG4	ALL	NA	1781659.0	13220170.0	7.42	0.00095	2143716.93	2144764.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221406-GM2210058-1-TWE-F-EGG4	ALL	NA	1781659.0	11341978.0	6.37	0.0008	1849568.44	1850213.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221416-GM2211270-1-TWE-F-EGG4	ALL	NA	1781659.0	11436518.0	6.42	0.00074	1882804.39	1883410.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221424-GM2123694-1-TWE-F-EGG4	ALL	NA	1781659.0	13437498.0	7.54	0.00083	2198740.22	2199577.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221431-GM2211586-1-TWE-F-EGG4	ALL	NA	1781659.0	9221411.0	5.18	0.00069	1513529.78	1513963.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221442-GM2211584-1-TWE-F-EGG4	ALL	NA	1781659.0	14050267.0	7.89	0.00089	2277791.16	2278818.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221768-GM2211585-1-TWE-M-EGG4	ALL	NA	1781659.0	12456271.0	6.99	0.00122	2039820.52	2041312.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221777-GM2211535-1-TWE-F-EGG4	ALL	NA	1781659.0	15994321.0	8.98	0.00107	2612390.26	2613995.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221780-GM2211534-1-TWE-F-EGG4	ALL	NA	1781659.0	14536345.0	8.16	0.00093	2384508.16	2385685.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221784-GM2211540-1-TWE-F-EGG4	ALL	NA	1781659.0	11505426.0	6.46	0.00091	1894306.56	1895124.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221785-GM2211538-1-TWE-M-EGG4	ALL	NA	1781659.0	10599708.0	5.95	0.00077	1735462.56	1736019.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221786-GM2211695-1-TWE-M-EGG4	ALL	NA	1781659.0	12390450.0	6.95	0.00082	2050717.1	2051494.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221787-GM2211536-1-TWE-M-EGG4	ALL	NA	1781659.0	10976373.0	6.16	0.00086	1830827.65	1831506.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221789-GM2211405-1-TWE-F-EGG4	ALL	NA	1781659.0	11535344.0	6.47	0.00085	2006785.01	2007493.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221793-GM2211541-1-TWE-F-EGG4	ALL	NA	1781659.0	9708012.0	5.45	0.00088	1641022.62	1641676.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221803-GM2210530-1-TWE-F-EGG4	ALL	NA	1781659.0	10911107.0	6.12	0.00086	1785228.91	1785859.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221809-GM2211489-1-TWE-M-EGG4	ALL	NA	1781659.0	4742968.0	2.66	0.00082	841508.63	841776.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221837-GM1911053-1-TWE-F-EGG4	ALL	NA	1781659.0	12894608.0	7.24	0.00076	2112049.34	2112766.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221857-GM2211189-1-TWE-F-EGG4	ALL	NA	1781659.0	13077589.0	7.34	0.00099	2121433.3	2122541.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221878-GM2211537-1-TWE-M-EGG4	ALL	NA	1781659.0	10534843.0	5.91	0.00071	1726011.13	1726562.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X221912-GM2210738-1-TWE-M-EGG4	ALL	NA	1781659.0	10538850.0	5.92	0.00082	1736261.27	1736902.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X222001-GM2211415-1-TWE-M-EGG4	ALL	NA	1781659.0	15448795.0	8.67	0.00081	2524369.25	2525306.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X222348-GM2216585-1-TWE-M-EGG4	ALL	NA	1781659.0	7708057.0	4.33	0.00089	1302169.94	1302671.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X223122-gm2221969-1-TWE-F-EGG4	ALL	NA	1781659.0	12287781.0	6.9	0.00099	2057019.99	2058061.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X223375-GM2224964-1-TWE-M-EGG4	ALL	NA	1781659.0	15090177.0	8.47	0.00099	2434098.67	2435314.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X223509-GM2225620-1-TWE-F-EGG4	ALL	NA	1781659.0	13256140.0	7.44	0.00085	2270436.28	2271251.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X223925-GM2228346-1-TWE-M-EGG4	ALL	NA	1781659.0	12126327.0	6.81	0.00079	2000199.85	2000912.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X223974-GM2205007-1-TWE-F-EGG4	ALL	NA	1781659.0	13867880.0	7.78	0.00094	2251961.67	2252995.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X223977-GM2216916-1-TWE-M-EGG4	ALL	NA	1781659.0	11685458.0	6.56	0.00078	1908834.72	1909517.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X223981-GM2300340-1-TWE-M-EGG4	ALL	NA	1781659.0	16802795.0	9.43	0.00084	2747809.2	2748831.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224007-GM2227212-1-TWE-F-EGG4	ALL	NA	1781659.0	11753564.0	6.6	0.0009	1943813.43	1944618.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224082-GM2203889-1-TWE-M-EGG4	ALL	NA	1781659.0	12496059.0	7.01	0.0009	2079646.87	2080508.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224119-GM2301435-1-TWE-F-EGG4	ALL	NA	1781659.0	13223628.0	7.42	0.00087	2127915.48	2128816.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224129-GM2301646-1-TWE-M-EGG4	ALL	NA	1781659.0	12102513.0	6.79	0.00085	2076251.4	2076988.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224246-GM2302230-1-TWE-M-EGG4	ALL	NA	1781659.0	13367343.0	7.5	0.00081	2203766.52	2204601.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224247-GM2302111-1-TWE-M-EGG4	ALL	NA	1781659.0	15500651.0	8.7	0.00084	2546723.0	2547660.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224264-GM2221424-1-TWE-M-EGG4	ALL	NA	1781659.0	12737431.0	7.15	0.00144	2538734.93	2540500.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224278-GM2302443-1-TWE-M-EGG4	ALL	NA	1781659.0	10996937.0	6.17	0.00084	1809974.24	1810633.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224287-GM2302336-1-TWE-F-EGG4	ALL	NA	1781659.0	10889227.0	6.11	0.00081	1787540.93	1788188.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224321-GM2302874-1-TWE-F-EGG4	ALL	NA	1781659.0	10867776.0	6.1	0.00083	1834602.06	1835249.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224362-GM2303082-1-TWE-M-EGG4	ALL	NA	1781659.0	11815413.0	6.63	0.0008	1916793.87	1917538.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224374-GM2302517-1-TWE-M-EGG4	ALL	NA	1781659.0	12346085.0	6.93	0.00084	2007741.36	2008504.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224378-GM2302909-1-TWE-F-EGG4	ALL	NA	1781659.0	13392768.0	7.52	0.00084	2207762.46	2208635.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224436-GM2301584-1-TWE-M-EGG4	ALL	NA	1781659.0	13657231.0	7.67	0.00077	2153371.57	2154143.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224551-GM2303393-1-TWE-M-EGG4	ALL	NA	1781659.0	13323589.0	7.48	0.00085	2181523.17	2182383.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224563-GM2303608-1-TWE-F-EGG4	ALL	NA	1781659.0	14483013.0	8.13	0.00089	2386871.11	2387913.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
X224757-GM2221065-1-TWE-F-EGG4	ALL	NA	1781659.0	12715704.0	7.14	0.0008	2066593.09	2067337.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
